date,category,sales
2025-07-10,n02958343 car,70
2025-07-10,n03770679 minivan,199
2025-07-10,n04285008 sports_car,109
2025-07-10,n04461696 tow_truck,63
2025-07-09,n02958343 car,111
2025-07-09,n03770679 minivan,43
2025-07-09,n04285008 sports_car,97
2025-07-09,n04461696 tow_truck,38
2025-07-08,n02958343 car,64
2025-07-08,n03770679 minivan,64
2025-07-08,n04285008 sports_car,130
2025-07-08,n04461696 tow_truck,38
2025-07-07,n02958343 car,141
2025-07-07,n03770679 minivan,155
2025-07-07,n04285008 sports_car,32
2025-07-07,n04461696 tow_truck,122
2025-07-06,n02958343 car,125
2025-07-06,n03770679 minivan,85
2025-07-06,n04285008 sports_car,76
2025-07-06,n04461696 tow_truck,136
2025-07-05,n02958343 car,61
2025-07-05,n03770679 minivan,170
2025-07-05,n04285008 sports_car,172
2025-07-05,n04461696 tow_truck,153
2025-07-04,n02958343 car,188
2025-07-04,n03770679 minivan,70
2025-07-04,n04285008 sports_car,126
2025-07-04,n04461696 tow_truck,31
2025-07-03,n02958343 car,32
2025-07-03,n03770679 minivan,120
2025-07-03,n04285008 sports_car,108
2025-07-03,n04461696 tow_truck,150
2025-07-02,n02958343 car,40
2025-07-02,n03770679 minivan,84
2025-07-02,n04285008 sports_car,22
2025-07-02,n04461696 tow_truck,140
2025-07-01,n02958343 car,144
2025-07-01,n03770679 minivan,112
2025-07-01,n04285008 sports_car,189
2025-07-01,n04461696 tow_truck,35
2025-06-30,n02958343 car,88
2025-06-30,n03770679 minivan,90
2025-06-30,n04285008 sports_car,79
2025-06-30,n04461696 tow_truck,148
2025-06-29,n02958343 car,66
2025-06-29,n03770679 minivan,35
2025-06-29,n04285008 sports_car,190
2025-06-29,n04461696 tow_truck,185
2025-06-28,n02958343 car,70
2025-06-28,n03770679 minivan,146
2025-06-28,n04285008 sports_car,80
2025-06-28,n04461696 tow_truck,21
2025-06-27,n02958343 car,39
2025-06-27,n03770679 minivan,169
2025-06-27,n04285008 sports_car,120
2025-06-27,n04461696 tow_truck,189
2025-06-26,n02958343 car,57
2025-06-26,n03770679 minivan,137
2025-06-26,n04285008 sports_car,133
2025-06-26,n04461696 tow_truck,88
2025-06-25,n02958343 car,25
2025-06-25,n03770679 minivan,49
2025-06-25,n04285008 sports_car,181
2025-06-25,n04461696 tow_truck,31
2025-06-24,n02958343 car,129
2025-06-24,n03770679 minivan,46
2025-06-24,n04285008 sports_car,157
2025-06-24,n04461696 tow_truck,140
2025-06-23,n02958343 car,173
2025-06-23,n03770679 minivan,86
2025-06-23,n04285008 sports_car,56
2025-06-23,n04461696 tow_truck,38
2025-06-22,n02958343 car,191
2025-06-22,n03770679 minivan,156
2025-06-22,n04285008 sports_car,200
2025-06-22,n04461696 tow_truck,97
2025-06-21,n02958343 car,61
2025-06-21,n03770679 minivan,85
2025-06-21,n04285008 sports_car,181
2025-06-21,n04461696 tow_truck,116
2025-06-20,n02958343 car,92
2025-06-20,n03770679 minivan,137
2025-06-20,n04285008 sports_car,118
2025-06-20,n04461696 tow_truck,122
2025-06-19,n02958343 car,94
2025-06-19,n03770679 minivan,21
2025-06-19,n04285008 sports_car,117
2025-06-19,n04461696 tow_truck,96
2025-06-18,n02958343 car,55
2025-06-18,n03770679 minivan,157
2025-06-18,n04285008 sports_car,192
2025-06-18,n04461696 tow_truck,74
2025-06-17,n02958343 car,129
2025-06-17,n03770679 minivan,105
2025-06-17,n04285008 sports_car,38
2025-06-17,n04461696 tow_truck,135
2025-06-16,n02958343 car,166
2025-06-16,n03770679 minivan,84
2025-06-16,n04285008 sports_car,173
2025-06-16,n04461696 tow_truck,57
2025-06-15,n02958343 car,28
2025-06-15,n03770679 minivan,145
2025-06-15,n04285008 sports_car,30
2025-06-15,n04461696 tow_truck,105
2025-06-14,n02958343 car,62
2025-06-14,n03770679 minivan,94
2025-06-14,n04285008 sports_car,62
2025-06-14,n04461696 tow_truck,96
2025-06-13,n02958343 car,98
2025-06-13,n03770679 minivan,156
2025-06-13,n04285008 sports_car,139
2025-06-13,n04461696 tow_truck,146
2025-06-12,n02958343 car,140
2025-06-12,n03770679 minivan,133
2025-06-12,n04285008 sports_car,74
2025-06-12,n04461696 tow_truck,85
2025-06-11,n02958343 car,191
2025-06-11,n03770679 minivan,133
2025-06-11,n04285008 sports_car,40
2025-06-11,n04461696 tow_truck,188
